ptMin,ptMax,tag,run,nDATA,nDATATag,nMCb,nMCbTag,nMCc,nMCcTag,nMCl,nMClTag,pb,pbTag,frb,frbTag,frc,frcTag,frl,frlTag,chi2,chi2Tag,effMC,effData,SF,effMCErr,effDataErr,SFErr,pbErr,pbTagErr,pc,pcErr,pcTag,pcTagErr,pl,plErr,plTag,plTagErr,ndof,ndofTag,p4,p4Err,p4Tag,p4ErrTag,p5,p5Err,p5Tag,p5ErrTag,nMC4,nMC4Tag,nMC5,nMC5Tag
200,350,DoubleBM2,713,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1864.862793,1779.887451,0.641724,0.827215,0.031807,0.013488,0.303815,0.134037,1.371158,2.604591,0.714659,0.682094,0.954433,0.008756,0.041730,0.059551,69.143921,86.616142,1777.763916,161.501373,1866.121826,437.728088,1777.763916,161.501373,1866.121826,437.728088,12,15,352.777161,276.229767,1866.121826,437.728088,352.777161,276.229767,1866.121826,437.728088,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,714,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1803.005005,1614.374023,0.620438,0.750291,0.032674,0.019392,0.312104,0.192707,1.214251,1.870601,0.714659,0.639891,0.895380,0.008756,0.038669,0.055210,77.827827,68.275696,1826.271118,255.116943,2682.943604,246.326859,1826.271118,255.116943,2682.943604,246.326859,12,15,611.976562,591.901062,2682.943604,246.326859,611.976562,591.901062,2682.943604,246.326859,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,715,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1814.727173,1621.802002,0.624472,0.753743,0.033926,0.017833,0.324063,0.177210,2.249450,2.212186,0.714659,0.638683,0.893689,0.008756,0.044847,0.063702,82.333992,86.916924,1896.248291,253.937622,2467.182129,382.988831,1896.248291,253.937622,2467.182129,382.988831,12,15,232.292847,545.106323,2467.182129,382.988831,232.292847,545.106323,2467.182129,382.988831,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,716,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1913.569092,1716.841553,0.658485,0.797914,0.027946,0.016424,0.266939,0.163213,1.430254,2.108462,0.714659,0.641187,0.897193,0.008756,0.043863,0.062353,81.683388,91.777115,1561.987793,296.874298,2272.320801,446.266998,1561.987793,296.874298,2272.320801,446.266998,12,15,835.409851,743.621277,2272.320801,446.266998,835.409851,743.621277,2272.320801,446.266998,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,717,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1801.727661,1693.918823,0.619998,0.787260,0.031848,0.016901,0.304212,0.167953,2.461488,2.433504,0.714659,0.671896,0.940164,0.008756,0.044733,0.063644,73.391258,89.203979,1780.088501,215.825363,2338.310303,439.530457,1780.088501,215.825363,2338.310303,439.530457,12,15,721.448669,502.865631,2338.310303,439.530457,721.448669,502.865631,2338.310303,439.530457,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,718,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1910.763794,1773.595825,0.657519,0.824290,0.027192,0.013655,0.259742,0.135697,2.360373,2.858413,0.714659,0.663356,0.928213,0.008756,0.042175,0.060100,77.935066,86.499870,1519.871216,213.304504,1889.230225,436.548004,1519.871216,213.304504,1889.230225,436.548004,12,15,1002.442139,433.471100,1889.230225,436.548004,1002.442139,433.471100,1889.230225,436.548004,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,719,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1815.760132,1661.705933,0.624827,0.772289,0.033849,0.018798,0.323325,0.186799,2.183988,1.786018,0.714659,0.654025,0.915157,0.008756,0.045933,0.065244,80.593155,90.443687,1891.929688,227.025009,2600.690430,471.690735,1891.929688,227.025009,2600.690430,471.690735,12,15,320.529999,433.454468,2600.690430,471.690735,320.529999,433.454468,2600.690430,471.690735,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,720,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1733.504761,1516.507202,0.596522,0.704807,0.038241,0.024961,0.365274,0.248049,2.973722,2.547561,0.714659,0.625199,0.874821,0.008756,0.044425,0.063080,66.365730,90.781441,2137.393799,123.420761,3453.440186,470.702667,2137.393799,123.420761,3453.440186,470.702667,12,15,0.017096,1054.507568,3453.440186,470.702667,0.017096,1054.507568,3453.440186,470.702667,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,721,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1797.460083,1690.069214,0.618530,0.785471,0.036329,0.017765,0.347016,0.176536,2.038184,2.227276,0.714659,0.671961,0.940254,0.008756,0.042005,0.059895,65.191002,86.048126,2030.552612,118.842636,2457.800049,425.751678,2030.552612,118.842636,2457.800049,425.751678,12,15,0.017096,169.128815,2457.800049,425.751678,0.017096,169.128815,2457.800049,425.751678,0.463190,0.045503,0.775712,0.007764
200,350,DoubleBM2,722,23812.000000,12600.000000,8.194026,5.855934,0.426028,0.091072,4.069403,0.905017,1763.811768,1616.367920,0.606951,0.751218,0.036887,0.018845,0.352343,0.187271,1.195162,1.719577,0.714659,0.654918,0.916406,0.008756,0.036574,0.052394,66.097069,66.924561,2061.724121,120.359261,2607.256348,210.300232,2061.724121,120.359261,2607.256348,210.300232,12,15,0.017096,450.685699,2607.256348,210.300232,0.017096,450.685699,2607.256348,210.300232,0.463190,0.045503,0.775712,0.007764
